composition,load,avg_ Atomic_Number,avg_ Atomic_Weight,avg_Period,avg_group,avg_families,avg_Mendeleev Number,avg_Atomic Radus,avg_ Covalent_Radius,avg_Zunger radii sum,avg_ionic radius,avg_crystal radius,avg_ Pauling_Electronegativity,avg_MB electonegativity,avg_Gordy electonegativity,avg_Mullinke EN,avg_Allred-Rockow electronegativity,avg_metallic valence,avg_number of valence electrons,avg_gilmor number of valence electron,avg_valence s,avg_valence p,avg_valence d,avg_outer shell electrons,avg_1st ionization potential (kJ/mol),"avg_polarizability
(A^3)",avg_Melting point (K),avg_Boiling Point (K),avg_Density (g/mL),avg_specific heat (J/g K) ,avg_heat of fusion (kJ/mol) ,avg_heat of vaporization (kJ/mol) ,avg_thermal conductivity (W/(m K)) ,"avg_heat atomization
(kJ/mol)",avg_Cohesive energy,avg_electron affinity (kJ/mol),diff_ Atomic_Number,diff_ Atomic_Weight,diff_Period,diff_group,diff_families,diff_Mendeleev Number,diff_Atomic Radus,diff_ Covalent_Radius,diff_Zunger radii sum,diff_ionic radius,diff_crystal radius,diff_ Pauling_Electronegativity,diff_MB electonegativity,diff_Gordy electonegativity,diff_Mullinke EN,diff_Allred-Rockow electronegativity,diff_metallic valence,diff_number of valence electrons,diff_gilmor number of valence electron,diff_valence s,diff_valence p,diff_valence d,diff_outer shell electrons,diff_1st ionization potential (kJ/mol),"diff_polarizability
(A^3)",diff_Melting point (K),diff_Boiling Point (K),diff_Density (g/mL),diff_specific heat (J/g K) ,diff_heat of fusion (kJ/mol) ,diff_heat of vaporization (kJ/mol) ,diff_thermal conductivity (W/(m K)) ,"diff_heat atomization
(kJ/mol)",diff_Cohesive energy,diff_electron affinity (kJ/mol),max_ Atomic_Number,max_ Atomic_Weight,max_Period,max_group,max_families,max_Mendeleev Number,max_Atomic Radus,max_ Covalent_Radius,max_Zunger radii sum,max_ionic radius,max_crystal radius,max_ Pauling_Electronegativity,max_MB electonegativity,max_Gordy electonegativity,max_Mullinke EN,max_Allred-Rockow electronegativity,max_metallic valence,max_number of valence electrons,max_gilmor number of valence electron,max_valence s,max_valence p,max_valence d,max_outer shell electrons,max_1st ionization potential (kJ/mol),"max_polarizability
(A^3)",max_Melting point (K),max_Boiling Point (K),max_Density (g/mL),max_specific heat (J/g K) ,max_heat of fusion (kJ/mol) ,max_heat of vaporization (kJ/mol) ,max_thermal conductivity (W/(m K)) ,"max_heat atomization
(kJ/mol)",max_Cohesive energy,max_electron affinity (kJ/mol),min_ Atomic_Number,min_ Atomic_Weight,min_Period,min_group,min_families,min_Mendeleev Number,min_Atomic Radus,min_ Covalent_Radius,min_Zunger radii sum,min_ionic radius,min_crystal radius,min_ Pauling_Electronegativity,min_MB electonegativity,min_Gordy electonegativity,min_Mullinke EN,min_Allred-Rockow electronegativity,min_metallic valence,min_number of valence electrons,min_gilmor number of valence electron,min_valence s,min_valence p,min_valence d,min_outer shell electrons,min_1st ionization potential (kJ/mol),"min_polarizability
(A^3)",min_Melting point (K),min_Boiling Point (K),min_Density (g/mL),min_specific heat (J/g K) ,min_heat of fusion (kJ/mol) ,min_heat of vaporization (kJ/mol) ,min_thermal conductivity (W/(m K)) ,"min_heat atomization
(kJ/mol)",min_Cohesive energy,min_electron affinity (kJ/mol)
Ag0.05Gd0.048Pd0.902,0.49,46.914,108.93225000000001,5.048,9.714,3.952,60.47,1.4292,1.29884,2.5163300000000004,1.4292,0.8199000000000001,2.1385,1.98246,3.8548676,4.3847000000000005,1.58,5.629560000000001,9.714,2.95,0.14600000000000002,0.0,9.568,0.14600000000000002,790.222,5.852600000000001,1785.9820000000002,3373.134,11.7282,0.23927,16.922600000000003,351.7942,86.7224,374.26,3.8550000000000004,55.852140000000006,18.0,50.83,1.0,8.0,1.0,38.0,0.40000000000000013,0.33000000000000007,1.5350000000000001,0.40000000000000013,0.51,1.0000000000000002,1.01,1.3262000000000005,1.35,0.78,2.7800000000000002,8.0,1.0,2.0,0.0,9.0,2.0,211.0,18.7,592.0,1061.0,4.1,0.009999999999999981,7.550000000000001,108.81999999999996,418.4,114.0,1.1899999999999995,112.642,64.0,157.25,6.0,11.0,4.0,65.0,1.8,1.61,3.91,1.8,1.29,2.2,2.08,5.1142,4.45,1.87,5.78,11.0,3.0,2.0,0.0,10.0,2.0,804.0,23.5,1827.15,3546.15,12.0,0.24,17.6,359.4,429.0,398.0,4.14,125.862,46.0,106.42,5.0,3.0,3.0,27.0,1.4,1.28,2.375,1.4,0.78,1.2,1.07,3.788,3.1,1.09,3.0,3.0,2.0,0.0,0.0,1.0,0.0,593.0,4.8,1235.15,2485.15,7.9,0.23,10.05,250.58,10.6,284.0,2.95,13.22
Ag0.05Y0.048Pd0.902,0.49,45.714000000000006,105.65173080000001,5.0,9.714,3.952,59.75,1.4292,1.29932,2.46977,1.4316,0.81798,2.13946,1.9973400000000001,3.7727924,4.38902,1.58144,5.629560000000001,9.714,2.854,0.14600000000000002,0.0,9.568,0.14600000000000002,790.558,5.8142,1796.0620000000001,3376.206,11.563559999999999,0.24263,16.9874,351.967,87.0392,375.46000000000004,3.8660400000000004,56.638380000000005,8.0,18.96235,0.0,8.0,1.0,53.0,0.40000000000000013,0.3400000000000001,0.565,0.4500000000000002,0.51,0.9800000000000002,1.01,0.44789999999999974,1.2600000000000002,0.75,2.7800000000000002,8.0,2.0,2.0,0.0,9.0,2.0,204.0,17.9,592.0,1125.0,7.53,0.065,6.300000000000001,112.41999999999999,411.8,139.0,1.42,96.262,47.0,107.8682,5.0,11.0,4.0,65.0,1.8,1.62,2.94,1.85,1.29,2.2,2.08,3.8522,4.45,1.87,5.78,11.0,3.0,2.0,0.0,10.0,2.0,804.0,22.7,1827.15,3610.15,12.0,0.3,17.6,363.0,429.0,423.0,4.37,125.862,39.0,88.90585,5.0,3.0,3.0,12.0,1.4,1.28,2.375,1.4,0.78,1.22,1.07,3.4043,3.19,1.12,3.0,3.0,1.0,0.0,0.0,1.0,0.0,600.0,4.8,1235.15,2485.15,4.47,0.235,11.3,250.58,17.2,284.0,2.95,29.6
Ag0.25Pb0.5Sb0.25Te,2.94,58.75,144.30352499999998,5.25,14.75,5.5,84.0,1.53125,1.3900000000000001,1.875,1.53125,1.20125,1.9975,2.07125,5.0119375,4.88125,2.02425,2.665,6.0,4.875,1.875,2.875,10.0,2.375,809.125,6.2625,778.9,1723.3000000000002,8.118749999999999,0.188125,13.841,111.66499999999999,66.6625,215.75,2.315,132.050725,35.0,99.33179999999999,1.0,5.0,2.0,25.0,0.40000000000000013,0.1299999999999999,0.7050000000000001,0.40000000000000013,0.59,0.30000000000000004,1.3099999999999998,1.5896,1.5900000000000003,0.3039999999999998,3.4400000000000004,7.0,4.0,1.0,4.0,0.0,3.0,153.0,2.4000000000000004,634.5000000000001,1222.2,5.16,0.10499999999999998,15.071000000000002,198.03000000000003,426.65,88.0,0.9200000000000004,155.7406,82.0,207.2,6.0,16.0,6.0,90.0,1.8,1.47,2.375,1.8,1.49,2.1,2.38,5.4418,5.49,2.158,5.44,11.0,6.0,2.0,4.0,10.0,4.0,869.0,7.9,1235.15,2485.15,11.4,0.235,19.87,250.58,429.0,284.0,2.95,190.161,47.0,107.8682,5.0,11.0,4.0,65.0,1.4,1.34,1.67,1.4,0.9,1.8,1.07,3.8522,3.9,1.854,2.0,4.0,2.0,1.0,0.0,10.0,1.0,716.0,5.5,600.65,1262.95,6.24,0.13,4.799,52.55,2.35,196.0,2.03,34.4204
Al1.5Si1.5N2.5O1.5,0.98,9.999999999999998,20.23092978571428,2.4285714285714284,14.571428571428571,6.357142857142857,80.28571428571428,0.8642857142857143,0.915,0.9557142857142857,0.8642857142857143,0.5657142857142857,2.575,2.505,5.9039,5.937142857142857,2.6247857142857143,2.571428571428571,4.571428571428571,4.571428571428571,2.0,2.571428571428571,0.0,4.571428571428571,1074.7857142857142,3.4985,594.9571428571428,1197.292857142857,1.0786099999999998,0.9135714285714286,13.320697857142855,146.93240714285716,82.51500857142857,388.99999999999994,4.037142857142857,67.86208571428571,7.0,14.078759999999999,1.0,3.0,2.0,14.0,0.65,0.44999999999999996,1.21,0.65,0.9099999999999999,1.8299999999999998,1.68,4.8466000000000005,4.3100000000000005,1.9969999999999999,4.0,3.0,3.0,0.0,3.0,0.0,3.0,824.0,7.507000000000001,1628.4,2662.8,2.69875,0.33000000000000007,50.32741,381.4272,236.97402,224.0,2.3,141.046,14.0,28.0855,3.0,16.0,7.0,87.0,1.25,1.18,1.675,1.25,1.21,3.44,3.32,8.3703,7.54,3.61,4.0,6.0,6.0,2.0,4.0,0.0,6.0,1402.0,8.3,1683.15,2740.15,2.7,1.04,50.55,384.22,237.0,473.0,4.92,140.976,7.0,14.00674,2.0,13.0,5.0,73.0,0.6,0.73,0.465,0.6,0.3,1.61,1.64,3.5237,3.23,1.613,0.0,3.0,3.0,2.0,1.0,0.0,3.0,578.0,0.793,54.75,77.35,0.00125,0.71,0.22259,2.7928,0.02598,249.0,2.62,-0.07
Al1.67B22,2.0,5.564427545416138,11.951887204478242,2.070553443177017,12.999999999999998,5.929446556822982,72.07055344317702,0.8782213772708067,0.8453992395437262,0.8570870299957752,0.8782213772708067,0.26975496408956484,2.0096620194338826,1.8816561047739753,4.519509040980144,4.215213350232361,2.0200975918884665,2.9999999999999996,2.9999999999999996,2.9999999999999996,1.9999999999999998,0.9999999999999999,0.0,2.9999999999999996,785.2665821715251,3.3739332488381915,2252.0346641318124,2817.2940642163076,2.3653992395437258,1.0115335868187578,47.419488804393744,475.85035910435147,41.81622306717364,555.5732995352766,5.639260667511617,28.031286016054075,8.0,16.170539,1.0,0.0,1.0,1.0,0.4,0.36,0.88,0.4,0.28,0.42999999999999994,0.26,1.0714000000000006,1.06,0.43800000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,5.300000000000001,1419.0,83.0,0.3600000000000003,0.12,39.410000000000004,196.3,210.0,247.0,2.4199999999999995,14.773,13.0,26.981539,3.0,13.0,6.0,73.0,1.25,1.18,1.675,1.25,0.53,2.04,1.9,4.5951,4.29,2.051,3.0,3.0,3.0,2.0,1.0,0.0,3.0,801.0,8.3,2352.15,2823.15,2.7,1.02,50.2,489.7,237.0,573.0,5.81,41.762,5.0,10.811,2.0,13.0,5.0,72.0,0.85,0.82,0.795,0.85,0.25,1.61,1.64,3.5237,3.23,1.613,3.0,3.0,3.0,2.0,1.0,0.0,3.0,578.0,3.0,933.15,2740.15,2.34,0.9,10.79,293.4,27.0,326.0,3.39,26.989
Al3BC3,0.25,8.857142857142858,18.255516714285715,2.4285714285714284,13.428571428571427,6.0,74.57142857142857,0.9571428571428571,0.9528571428571428,1.1057142857142856,0.9571428571428571,0.3871428571428571,2.0742857142857143,1.99,4.5771428571428565,4.684285714285714,2.0745714285714287,3.4285714285714284,3.4285714285714284,3.4285714285714284,2.0,1.4285714285714284,0.0,3.4285714285714284,827.5714285714284,4.757142857142857,2296.0071428571428,3763.435714285714,2.997,0.7542857142857142,63.22428571428571,348.1857142857143,114.0,528.8571428571429,5.441428571428571,73.94341428571428,8.0,16.170539,1.0,1.0,2.0,5.0,0.55,0.4099999999999999,1.0350000000000001,0.55,0.28,0.9399999999999997,0.7300000000000002,2.1009,3.0399999999999996,0.931,1.0,1.0,1.0,0.0,1.0,0.0,1.0,508.0,6.500000000000001,2707.0,2359.9999999999995,1.173,0.5,109.21000000000001,196.3,217.0,391.0,3.98,94.7873,13.0,26.981539,3.0,14.0,7.0,77.0,1.25,1.18,1.675,1.25,0.53,2.55,2.37,5.6246,6.27,2.544,4.0,4.0,4.0,2.0,2.0,0.0,4.0,1086.0,8.3,3640.15,5100.15,3.513,1.02,120.0,489.7,237.0,717.0,7.37,121.7763,5.0,10.811,2.0,13.0,5.0,72.0,0.7,0.77,0.64,0.7,0.25,1.61,1.64,3.5237,3.23,1.613,3.0,3.0,3.0,2.0,1.0,0.0,3.0,578.0,1.8,933.15,2740.15,2.34,0.52,10.79,293.4,20.0,326.0,3.39,26.989
Al3BC3,0.49,8.857142857142858,18.255516714285715,2.4285714285714284,13.428571428571427,6.0,74.57142857142857,0.9571428571428571,0.9528571428571428,1.1057142857142856,0.9571428571428571,0.3871428571428571,2.0742857142857143,1.99,4.5771428571428565,4.684285714285714,2.0745714285714287,3.4285714285714284,3.4285714285714284,3.4285714285714284,2.0,1.4285714285714284,0.0,3.4285714285714284,827.5714285714284,4.757142857142857,2296.0071428571428,3763.435714285714,2.997,0.7542857142857142,63.22428571428571,348.1857142857143,114.0,528.8571428571429,5.441428571428571,73.94341428571428,8.0,16.170539,1.0,1.0,2.0,5.0,0.55,0.4099999999999999,1.0350000000000001,0.55,0.28,0.9399999999999997,0.7300000000000002,2.1009,3.0399999999999996,0.931,1.0,1.0,1.0,0.0,1.0,0.0,1.0,508.0,6.500000000000001,2707.0,2359.9999999999995,1.173,0.5,109.21000000000001,196.3,217.0,391.0,3.98,94.7873,13.0,26.981539,3.0,14.0,7.0,77.0,1.25,1.18,1.675,1.25,0.53,2.55,2.37,5.6246,6.27,2.544,4.0,4.0,4.0,2.0,2.0,0.0,4.0,1086.0,8.3,3640.15,5100.15,3.513,1.02,120.0,489.7,237.0,717.0,7.37,121.7763,5.0,10.811,2.0,13.0,5.0,72.0,0.7,0.77,0.64,0.7,0.25,1.61,1.64,3.5237,3.23,1.613,3.0,3.0,3.0,2.0,1.0,0.0,3.0,578.0,1.8,933.15,2740.15,2.34,0.52,10.79,293.4,20.0,326.0,3.39,26.989
Al3BC3,10.0,8.857142857142858,18.255516714285715,2.4285714285714284,13.428571428571427,6.0,74.57142857142857,0.9571428571428571,0.9528571428571428,1.1057142857142856,0.9571428571428571,0.3871428571428571,2.0742857142857143,1.99,4.5771428571428565,4.684285714285714,2.0745714285714287,3.4285714285714284,3.4285714285714284,3.4285714285714284,2.0,1.4285714285714284,0.0,3.4285714285714284,827.5714285714284,4.757142857142857,2296.0071428571428,3763.435714285714,2.997,0.7542857142857142,63.22428571428571,348.1857142857143,114.0,528.8571428571429,5.441428571428571,73.94341428571428,8.0,16.170539,1.0,1.0,2.0,5.0,0.55,0.4099999999999999,1.0350000000000001,0.55,0.28,0.9399999999999997,0.7300000000000002,2.1009,3.0399999999999996,0.931,1.0,1.0,1.0,0.0,1.0,0.0,1.0,508.0,6.500000000000001,2707.0,2359.9999999999995,1.173,0.5,109.21000000000001,196.3,217.0,391.0,3.98,94.7873,13.0,26.981539,3.0,14.0,7.0,77.0,1.25,1.18,1.675,1.25,0.53,2.55,2.37,5.6246,6.27,2.544,4.0,4.0,4.0,2.0,2.0,0.0,4.0,1086.0,8.3,3640.15,5100.15,3.513,1.02,120.0,489.7,237.0,717.0,7.37,121.7763,5.0,10.811,2.0,13.0,5.0,72.0,0.7,0.77,0.64,0.7,0.25,1.61,1.64,3.5237,3.23,1.613,3.0,3.0,3.0,2.0,1.0,0.0,3.0,578.0,1.8,933.15,2740.15,2.34,0.52,10.79,293.4,20.0,326.0,3.39,26.989
Al3C2B48,1.96,5.490566037735849,11.771596547169812,2.056603773584906,13.037735849056604,5.981132075471699,72.24528301886792,0.8669811320754718,0.8384905660377359,0.8389622641509435,0.8669811320754718,0.2673584905660377,2.0349056603773588,1.9030188679245283,4.5733037735849065,4.304716981132076,2.044811320754717,3.037735849056604,3.037735849056604,3.037735849056604,2.0,1.0377358490566038,0.0,3.037735849056604,799.1320754716982,3.2547169811320757,2320.4330188679246,2904.37641509434,2.404641509433962,0.9943396226415094,50.60320754716981,473.53584905660375,38.62264150943396,564.4528301886792,5.73188679245283,31.402086792452835,8.0,16.170539,1.0,1.0,2.0,5.0,0.55,0.4099999999999999,1.0350000000000001,0.55,0.28,0.9399999999999997,0.7300000000000002,2.1009,3.0399999999999996,0.931,1.0,1.0,1.0,0.0,1.0,0.0,1.0,508.0,6.500000000000001,2707.0,2359.9999999999995,1.173,0.5,109.21000000000001,196.3,217.0,391.0,3.98,94.7873,13.0,26.981539,3.0,14.0,7.0,77.0,1.25,1.18,1.675,1.25,0.53,2.55,2.37,5.6246,6.27,2.544,4.0,4.0,4.0,2.0,2.0,0.0,4.0,1086.0,8.3,3640.15,5100.15,3.513,1.02,120.0,489.7,237.0,717.0,7.37,121.7763,5.0,10.811,2.0,13.0,5.0,72.0,0.7,0.77,0.64,0.7,0.25,1.61,1.64,3.5237,3.23,1.613,3.0,3.0,3.0,2.0,1.0,0.0,3.0,578.0,1.8,933.15,2740.15,2.34,0.52,10.79,293.4,20.0,326.0,3.39,26.989
AlB12,1.96,5.615384615384616,12.054887615384615,2.076923076923077,13.0,5.923076923076923,72.07692307692308,0.8807692307692307,0.8476923076923077,0.8626923076923078,0.8807692307692307,0.27153846153846156,2.0069230769230773,1.88,4.512684615384615,4.208461538461539,2.0173076923076927,3.0,3.0,3.0,2.0,1.0,0.0,3.0,783.8461538461539,3.4076923076923076,2242.996153846154,2816.765384615385,2.367692307692308,1.0107692307692309,47.16846153846154,474.6,43.15384615384616,554.0,5.623846153846154,28.12538461538462,8.0,16.170539,1.0,0.0,1.0,1.0,0.4,0.36,0.88,0.4,0.28,0.42999999999999994,0.26,1.0714000000000006,1.06,0.43800000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,5.300000000000001,1419.0,83.0,0.3600000000000003,0.12,39.410000000000004,196.3,210.0,247.0,2.4199999999999995,14.773,13.0,26.981539,3.0,13.0,6.0,73.0,1.25,1.18,1.675,1.25,0.53,2.04,1.9,4.5951,4.29,2.051,3.0,3.0,3.0,2.0,1.0,0.0,3.0,801.0,8.3,2352.15,2823.15,2.7,1.02,50.2,489.7,237.0,573.0,5.81,41.762,5.0,10.811,2.0,13.0,5.0,72.0,0.85,0.82,0.795,0.85,0.25,1.61,1.64,3.5237,3.23,1.613,3.0,3.0,3.0,2.0,1.0,0.0,3.0,578.0,3.0,933.15,2740.15,2.34,0.9,10.79,293.4,27.0,326.0,3.39,26.989
