composition,actual_hardness,predicted_hardness,y_lower,y_upper,y_std,y_std_calib,load
Cr4B,12.16,11.840752,8.658814,9.895324,0.31543604,0.48499334,0.49
W0.5Dy0.5B11.6,31.32682927,31.871513,31.188513,34.30403,0.7947751,1.221993,0.98
W0.5Pt0.5,0.85,4.4853683,4.6566453,7.648533,0.7632366,1.1735015,9.8
Zr0.75Gd0.25B12,34.4,35.63526,33.890205,36.933945,0.7764641,1.1938392,0.98
ReSi2,22.56,14.982666,15.4151745,24.385622,2.2883794,3.518459,0.98
Sc0.8Zr0.2B12,31.31126451,32.494114,29.191647,32.481308,0.8391993,1.2902967,4.9
W0.9Y0.1B11.6,43.77216402,43.68735,39.31118,43.89637,1.1696912,1.7984389,0.49
Ta0.09Pt0.91,1.02,2.1406054,1.3068126,1.8969756,0.15055178,0.23147833,9.8
YB20,28.5,28.70732,28.078434,29.591377,0.38595492,0.5934184,4.9
Mn0.04W0.96B4,36.43124066,38.137306,34.525333,40.41937,1.5035805,2.3118045,1.96
Zr0.2W0.8B4,39.41394107,40.30506,36.025978,41.479942,1.3913174,2.1391964,0.98
Zr0.04W0.96B4,40.71027986,42.279827,37.97342,44.950073,1.7797587,2.7364378,0.98
ErRh4B4,11.1,14.42842,10.250778,12.33796,0.5324444,0.8186509,0.98
TmB12,37.27,33.062656,33.99049,36.496727,0.6393462,0.9830159,0.49
Zr0.2Nb2.8Sn0.5Ge0.5,7.84,9.142401,7.3913765,11.434454,1.0313973,1.5858074,0.98
W0.9Nb0.1B2.1,25.63940312,25.944456,24.30824,25.649775,0.34222797,0.5261868,4.9
Nb0.95Al0.05,4.41,4.7933455,5.4220033,10.34513,1.2558997,1.9309872,0.98
Zr0.2W0.8B4,35.32303198,34.976517,31.04914,35.62096,1.1662804,1.7931947,2.94
Ti0.1W0.9B4,32.2894837,31.7024,31.681849,33.741093,0.5253174,0.8076928,2.94
Y0.25Hf0.25Gd0.5B20,30.9,31.45561,31.784964,36.606388,1.2299552,1.8910967,0.98
Zr0.5Y0.25Gd0.25B20,28.7,29.788565,28.413433,30.757612,0.5980049,0.91945225,4.9
W0.9Y0.1B11.6,33.44709484,33.429432,30.854326,33.255806,0.6126224,0.94192713,1.96
ZrB2,22.08,27.818727,27.990507,30.265612,0.5803838,0.89235926,0.29
Y0.25Zr0.75B12,43.88793167,44.322628,38.87059,44.43103,1.4184796,2.1809592,0.49
Ti0.1W0.9B4,30.12220409,29.75592,30.440062,32.016613,0.40218148,0.6183673,4.9
W0.9Er0.1B11.6,28.17196702,29.20164,27.494251,29.888264,0.6107175,0.9389983,4.9
Y0.75Sc0.25CrB4,22.98633018,23.651255,23.652971,27.99529,1.1077346,1.7031785,4.9
YB20,32.7,31.972359,30.33775,32.727417,0.60960907,0.93729407,1.96
Y0.25Hf0.75B20,34.6,33.62801,30.827631,34.41785,0.9158723,1.4081839,1.96
