,composition,actual_hardness,predicted_hardness,y_lower,y_upper,y_std,y_std_calib,load
0,Ag0.05Gd0.048Pd0.902,1.81,2.236911,2.4624202,3.104198,0.1637188,5.8629665,0.49
1,Ag0.05Y0.048Pd0.902,1.64,2.6232061,2.6414988,4.3036113,0.42400828,18.148247,0.49
2,Ag0.25Pb0.5Sb0.25Te,0.578,1.8271122,1.6480892,2.573589,0.23609692,7.917682,2.94
3,Al1.5Si1.5N2.5O1.5,15.03,12.984472,11.713908,19.2744,1.928697,69.068954,0.98
4,Al1.67B22,23.8,26.663467,26.444115,31.617104,1.31964,55.879097,2.0
5,Al3BC3,20.7,30.523293,30.48293,28.132778,1e-04,0.004280163,0.25
6,Al3BC3,18.2,31.036339,30.63176,28.186766,1e-04,0.004280163,0.49
7,Al3BC3,11.1,23.70036,21.71068,22.576666,0.22091475,9.455512,10.0
8,Al3C2B48,33.0,27.017588,26.70961,34.439663,1.9719522,75.05225,1.96
9,AlB12,27.0,26.017076,25.340324,35.03804,2.473907,105.88725,1.96
10,AlMgB14,33.5,26.16474,28.99556,31.233778,0.57097405,24.177437,0.98
11,AlMgB14,28.2,21.544752,24.62562,27.051083,0.6187405,26.20007,9.8
12,AlN,18.0,17.4915,18.730734,25.302427,1.6764524,63.80557,0.5
13,AlN,12.01,14.821474,16.666128,24.356815,1.96191,74.67005,0.98
14,AlSb,4.0,4.6902,2.998369,6.5049415,0.89453375,29.99884,0.98
15,Au0.5Pt0.5,1.07,-0.2188967,-0.61998767,2.3050702,0.7461882,26.721895,9.8
16,Au0.98Co0.02,0.49,2.1824796,0.60422057,3.657627,0.7789302,32.983173,0.25
17,AuSn,1.42,3.880006,1.1193322,2.9939249,0.47821242,18.200705,0.49
18,AuSn2,2.55,2.6529543,1.1665463,2.2944036,0.28771868,10.950538,0.49
19,AuSn4,0.74,1.8774979,2.1945102,4.1983767,0.5111904,21.879784,0.49
20,AuTiAl,3.58,5.3821187,4.7334075,5.082963,0.08917232,3.1933677,0.98
21,AuV3,8.83,5.1833963,5.4189553,9.338192,0.9998053,42.33595,0.49
22,B13N2,44.384,49.443954,36.00784,44.230045,2.0975015,75.114044,0.49
23,B13N2,42.019435,45.00852,32.302395,40.492004,2.089186,74.81625,0.98
24,B13N2,41.6932,43.05879,29.76316,36.63703,1.7535385,62.796314,1.96
25,B13N2,40.97,41.908928,28.538727,36.196102,1.953412,69.954025,3.92
26,B50Fe,39.32,38.276577,36.240456,43.745907,1.9146559,72.87157,0.49
27,B6O,54.0,42.03214,30.650688,41.048084,2.652397,112.313614,0.25
28,B6O,53.0,42.598213,31.267841,41.21031,2.5363445,107.39947,0.49
29,B6O,45.0,40.687977,29.175817,38.849064,2.467665,104.49129,0.98
30,BaB6,29.42,25.132954,22.832714,30.3042,1.9059911,68.25583,0.29
31,BaHfO3,5.1,7.774997,5.2124577,8.754038,0.9034643,38.25647,9.8
32,BaSnO3,5.0,8.081184,3.9875336,8.850819,1.240634,47.218372,9.8
33,BC2N,71.0,54.57677,32.38925,43.526745,2.8411973,121.60788,4.9
34,BC5,67.0,55.316204,26.667421,36.270687,2.4498127,82.15625,4.9
35,Be12Nb,4.9,7.629657,6.204144,16.705824,2.6790001,114.66558,0.98
36,Be12Ta,7.06,5.013311,5.8194027,19.70364,3.5418973,118.780106,0.98
37,Be2B,8.73,21.062986,14.65592,30.892572,4.142003,138.90509,0.98
38,BN,55.966,43.25634,26.199745,35.68163,2.4188478,86.62184,0.96
