composition,actual_hardness,predicted_hardness,y_lower,y_upper,y_std,y_std_calib,load
Ag0.05Y0.048Pd0.902,0.0,2.6232061,2.6414988,4.3036113,0.42400828,18.148247,0.49
Al3BC3,0.0,30.523293,30.48293,28.132778,1e-04,0.004280163,0.25
Al3BC3,0.0,31.036339,30.63176,28.186766,1e-04,0.004280163,0.49
Al3BC3,0.0,23.70036,21.71068,22.576666,0.22091475,9.455512,10.0
AlB12,0.0,26.017076,25.340324,35.03804,2.473907,105.88725,1.96
AuSn4,0.0,1.8774979,2.1945102,4.1983767,0.5111904,21.879784,0.49
BC2N,0.0,54.57677,32.38925,43.526745,2.8411973,121.60788,4.9
Be12Nb,0.0,7.629657,6.204144,16.705824,2.6790001,114.66558,0.98
CdGd,0.0,2.6494524,2.144026,4.664028,0.6428577,27.515358,0.98
CeAlO3,0.0,8.608156,6.9493937,10.469896,0.8980874,38.439606,1.96
CeRh3B,0.0,4.227576,4.6905646,6.3074665,0.41247496,17.654602,2.942
CoB2,0.0,28.884447,22.533009,29.542383,1.7881057,76.533844,0.49
Cr0.3W0.7B4,0.0,45.083366,40.540375,47.817924,1.8565178,79.46199,0.49
Cr0.3W0.7B4,0.0,38.084732,35.51752,40.564144,1.2874038,55.102985,0.98
Cr0.3W0.7B4,0.0,34.56325,32.0001,35.405743,0.8687866,37.185482,1.96
Cr0.3W0.7B4,0.0,32.42302,30.596083,33.24905,0.6767774,28.967178,2.94
Cr0.3W0.7B4,0.0,30.220882,28.95912,31.611908,0.67673165,28.96522,4.9
Cr0.4Fe0.4Co0.4Ni0.4Al0.4,0.0,3.82458,4.03252,8.310745,1.091384,46.71302,1.96
Cr2.4W0.6B4,0.0,23.858715,23.549147,26.516935,0.75708896,32.404644,0.98
Cr2.79Nb0.21B4,0.0,20.651144,17.945358,24.019611,1.5495543,66.323456,0.98
Cr28.58Al112.28,0.0,4.6518083,3.5447211,11.185823,1.9492607,83.43154,0.49
Cr2B3,0.0,17.396646,15.842963,23.838678,2.0397232,87.30348,0.98
Cr5B3,0.0,14.401345,10.275856,15.732319,1.3919548,59.577934,0.49
CrB50,0.0,38.98621,35.715443,44.19939,2.1642723,92.634384,0.49
Cu6Gd,0.0,5.2828593,3.7760065,6.7033343,0.7467673,31.962858,0.98
DyC2,0.0,6.7468843,5.5886607,9.6434145,1.0343759,44.272976,1.72
DyMn2Si2,0.0,5.933014,5.730553,7.8915987,0.5512871,23.595987,0.49
ErRh3B,0.0,10.191558,8.175852,10.799172,0.6692144,28.643469,0.98
Fe0.9Ru0.1,0.0,2.5003343,2.2938976,6.321069,1.0273396,43.97181,9.8
Gd0.8Nd0.2B6,0.0,20.440699,18.334166,24.115618,1.4748602,63.126423,5.0
GdRh3B,0.0,5.703618,5.783036,7.6296644,0.4710786,20.162933,2.94
Hf0.5Nb0.5Cr2,0.0,4.1134653,3.1720586,7.6096945,1.1320499,48.453583,1.96
Hf5Ge3,0.0,7.54262,6.5569687,10.248061,0.9416052,40.30224,0.98
HfGe,0.0,7.5983753,6.35245,7.99104,0.41800773,17.891413,0.98
